,Country Name,Region,Year,Exports,Tax revenue,FDI outflow,GDP growth,GDS,Imports,Poverty headcount,Unemployment,Resident's Savings,FCE,Income Measure,Education expenditure,Geographic Size,Life expectancy,Population
118,Austria,Europe,2015,0.259085314,0.378605569,0.223093421,0.498067882,0.706144272,0.252704481,0.008674102,0.202259475,0.137423534,0.293855728,0.638640906,0.235926291,0.005019372,0.920272348,0.006004514
119,Austria,Europe,2016,0.255439828,0.354295461,0.207032498,0.528133204,0.712616007,0.247534145,0.008674102,0.211734694,0.139877089,0.287383993,0.682744837,0.239980918,0.005019372,0.935186014,0.00607224
159,Bangladesh,Asia,2016,0.04992643,0.04152475,0.224574508,0.686149742,0.702671786,0.036246265,0.167286245,0.14941691,0.153751515,0.297328214,0.04437042,0.372999919,0.00792902,0.586440011,0.114937283
170,Belarus,Europe,2007,0.30102614,0.325052965,0.224621604,0.731991698,0.731836333,0.373883095,0.002478315,0.260714286,0.129636361,0.268163667,0.143637575,0.344832459,0.012370188,0.557265656,0.006666328
171,Belarus,Europe,2008,0.300997851,0.353158914,0.224664839,0.781332703,0.754384905,0.383720394,0.002478315,0.23622449,0.130722898,0.245615095,0.16362425,0.314235025,0.012370249,0.565488326,0.006642567
172,Belarus,Europe,2009,0.236589764,0.236983083,0.225052796,0.47294992,0.707788225,0.323359882,0.001239157,0.21319242,0.12942728,0.292211775,0.16389074,0.315972045,0.012370005,0.563876038,0.006625701
173,Belarus,Europe,2010,0.249920827,0.197104914,0.224762764,0.707267435,0.715617097,0.355809008,0,0.211516035,0.129727368,0.284382903,0.181345769,0.35579095,0.012370249,0.563795423,0.006610748
174,Belarus,Europe,2011,0.394596402,0.165790867,0.225058227,0.632652422,0.831431244,0.457265778,0,0.210349854,0.131144397,0.168568756,0.199067288,0.390404529,0.012370737,0.568712902,0.006594753
175,Belarus,Europe,2012,0.396260076,0.168449993,0.225144546,0.518810746,0.837951674,0.422005422,0,0.208381924,0.131028555,0.162048326,0.216655563,0.344664163,0.012370066,0.615388646,0.006584081
176,Belarus,Europe,2013,0.287091377,0.145850165,0.225428785,0.497727711,0.800601047,0.335043456,0,0.207507289,0.130808479,0.199398953,0.225049967,0.334771619,0.012370615,0.632075829,0.006581468
177,Belarus,Europe,2014,0.268975397,0.13449514,0.224774913,0.520015735,0.777521256,0.29590953,0,0.206195335,0.130778195,0.222478744,0.226515656,0.35840392,0.012374584,0.648601784,0.006585291
178,Belarus,Europe,2015,0.28536469,0.159985321,0.225021226,0.348682247,0.762703902,0.310777805,0,0.205102041,0.130023252,0.237296098,0.211725516,0.343529701,0.01237489,0.670206445,0.006594344
179,Belarus,Europe,2016,0.309390253,0.153336249,0.225198066,0.388890154,0.733922321,0.343298883,0,0.203717201,0.129190317,0.266077679,0.206662225,0.360222191,0.0123755,0.676897442,0.006600328
180,Belgium,Europe,2007,0.393722998,0.34339941,0.270152875,0.580171049,0.720546622,0.42104454,0.002478315,0.262755102,0.144765008,0.279453378,0.477948035,0.290311706,0.001829445,0.873757833,0.007433726
181,Belgium,Europe,2008,0.407494038,0.351444603,0.335619089,0.48056492,0.6946279,0.462004653,0.001239157,0.245262391,0.142651854,0.3053721,0.497801466,0.287403402,0.001829445,0.870372027,0.007494464
182,Belgium,Europe,2009,0.343164328,0.325999178,0.242293316,0.404466203,0.668155993,0.369552017,0.001239157,0.279154519,0.136412331,0.331844007,0.493137908,0.282833866,0.001829445,0.882061117,0.007556822
183,Belgium,Europe,2010,0.380630547,0.337865353,0.260265809,0.555112232,0.672952653,0.42091549,0.001239157,0.293002915,0.137284106,0.327047347,0.519653564,0.285451182,0.001829445,0.886978596,0.007628241
184,Belgium,Europe,2011,0.406515434,0.345958614,0.288036779,0.519038282,0.667823496,0.465994992,0.002478315,0.251093294,0.134626851,0.332176504,0.527248501,0.285898242,0.001829445,0.900279974,0.007731074
185,Belgium,Europe,2012,0.404951476,0.361292566,0.246062531,0.489578592,0.659848182,0.462911239,0.002478315,0.265670554,0.136051827,0.340151818,0.557361759,0.280845608,0.001829445,0.893669592,0.007780565
186,Belgium,Europe,2013,0.399183447,0.367628507,0.218433396,0.480944646,0.653434131,0.450604985,0.001239157,0.298104956,0.13571048,0.346565869,0.577081945,0.289764109,0.001829445,0.900360588,0.007818385
187,Belgium,Europe,2014,0.401728846,0.366655382,0.224334113,0.515461637,0.662308881,0.453694766,0.001239157,0.30138484,0.136972143,0.337691119,0.59200533,0.289472156,0.001829445,0.923496924,0.00785417
188,Belgium,Europe,2015,0.391071535,0.335900765,0.228616208,0.529737468,0.675591376,0.43610068,0.001239157,0.299927114,0.136833387,0.324408624,0.605063291,0.301930615,0.001829445,0.913742581,0.007901117
189,Belgium,Europe,2016,0.39974558,0.309772832,0.243218888,0.505844825,0.680466783,0.448631379,0.001239157,0.276239067,0.13715884,0.319533217,0.634510326,0.300641983,0.001829445,0.928495018,0.007942362
230,Bolivia,South America,2007,0.198777807,0.208222049,0.224594045,0.607540106,0.647225059,0.150514139,0.11771995,0.086078717,0.128126044,0.352774941,0.038640906,0.581884609,0.066129924,0.38604629,0.006774582
252,Botswana,Africa,2009,0.166940369,0.393475816,0.224734139,0.030598753,0.612712354,0.275139112,0.219330855,0.580174927,0.127470236,0.387287646,0.127648235,0.578577356,0.03458665,0.163012012,0.001252222
258,Botswana,Africa,2015,0.259095122,0.369706217,0.228021171,0.317175638,0.642924743,0.323704386,0.190830235,0.678862974,0.127838128,0.357075257,0.153630913,0.615946517,0.03458665,0.346086533,0.001436855
264,Brazil,South America,2011,0.037437664,0.171703849,0.22611603,0.589346727,0.627024969,0.001931592,0.065675341,0.26712828,0.126127031,0.372975031,0.175349767,0.400568652,0.510352913,0.660905961,0.142613918
265,Brazil,South America,2012,0.039013124,0.162738511,0.224752709,0.526028148,0.614863982,0.007930949,0.055762082,0.255102041,0.099863892,0.385136018,0.175616256,0.4109835,0.510352913,0.66781381,0.143905762
266,Brazil,South America,2013,0.038290569,0.159160145,0.226163569,0.559445932,0.606758467,0.013402472,0.045848823,0.248542274,0.10350987,0.393241533,0.184943371,0.409446045,0.510352913,0.679910808,0.145162761
267,Brazil,South America,2014,0.034390784,0.148184624,0.22669487,0.482323534,0.588430689,0.010892031,0.040892193,0.237244898,0.085157085,0.411569311,0.185609594,0.405045016,0.510352913,0.692734949,0.146415309
268,Brazil,South America,2015,0.044474154,0.150595852,0.224982803,0.357437221,0.568603853,0.013468293,0.048327138,0.302113703,0.078365751,0.431396147,0.172951366,0.388547323,0.510352913,0.693594298,0.147661134
269,Brazil,South America,2016,0.04215917,0.151991941,0.226641423,0.365758819,0.557778467,0,0.058240397,0.412900875,0.070780084,0.442221533,0.166155896,0.381300799,0.510352913,0.697230008,0.148865746
290,Bulgaria,Europe,2007,0.255165567,0.291082951,0.230167164,0.671992184,0.550650357,0.400777882,0.022304833,0.241618076,0.126635559,0.449349643,0.139107262,0.232033652,0.006612504,0.638444368,0.00521361
291,Bulgaria,Europe,2008,0.25582039,0.294767768,0.229814896,0.655807373,0.57995966,0.407785603,0.016109046,0.195335277,0.127704214,0.42004034,0.162691539,0.2676389,0.006612504,0.64835994,0.005175572
292,Bulgaria,Europe,2009,0.201037687,0.236240614,0.226322566,0.363562352,0.617606311,0.260403611,0.016109046,0.239431487,0.128219848,0.382393689,0.163757495,0.258497986,0.006609451,0.663192992,0.005140892
293,Bulgaria,Europe,2010,0.243113097,0.223885688,0.227523214,0.514747003,0.60604338,0.279446881,0.024783147,0.365524781,0.128274515,0.39395662,0.175882745,0.243491931,0.006609451,0.666498183,0.005105689
294,Bulgaria,Europe,2011,0.289519127,0.224080646,0.226730273,0.531239806,0.632620563,0.315703155,0.030978934,0.401239067,0.128843516,0.367379437,0.18401066,0.24654508,0.006609451,0.68802223,0.005071619
295,Bulgaria,Europe,2012,0.297839307,0.232764914,0.22647908,0.489874563,0.597213882,0.349571007,0.02850062,0.438046647,0.128795833,0.402786118,0.195469687,0.236237168,0.006609451,0.693020324,0.005041031
296,Bulgaria,Europe,2013,0.320367459,0.255242669,0.226155316,0.450044904,0.619603107,0.359732113,0.022304833,0.462463557,0.129195496,0.380396893,0.197734843,0.239376155,0.006609451,0.711077952,0.005011645
297,Bulgaria,Europe,2014,0.32052469,0.253175159,0.228508793,0.496061759,0.619376679,0.363460276,0.021065675,0.407069971,0.128932698,0.380623321,0.213590939,0.228867652,0.006609451,0.698018417,0.004981967
298,Bulgaria,Europe,2015,0.316320643,0.262007374,0.225159396,0.571557081,0.637030599,0.344847412,0.042131351,0.323979592,0.128601018,0.362969401,0.218254497,0.237176471,0.006609451,0.702935896,0.004948852
299,Bulgaria,Europe,2016,0.316720311,0.266417173,0.22847998,0.560118383,0.661305232,0.318021849,0.024783147,0.266763848,0.129008157,0.338694768,0.239973351,0.239512609,0.006609451,0.709465664,0.004912693
307,Burkina Faso,Africa,2014,0.119404941,0.151186727,0.225819089,0.600214826,0.54479365,0.134413354,0.49070632,0.146865889,0.127498162,0.45520635,0.001732179,0.543470116,0.016687275,0.165656165,0.01287103
320,Cabo Verde,Africa,2007,0.155791576,0.246421964,0.224589963,0.934620114,0.620939755,0.328113621,0.131350682,0.473396501,0.127379214,0.379060245,0.05236509,0.510576021,0.000226543,0.644115591,0.000139222
328,Cabo Verde,Africa,2015,0.195252273,0.211171939,0.222193703,0.495647847,0.582130418,0.276671092,0.057001239,0.426530612,0.127338169,0.417869582,0.061159227,0.460555053,0.000226543,0.703113248,0.000173408
347,Cameroon,Africa,2014,0.101665094,0.127369293,0.224451804,0.643171683,0.566863012,0.102755878,0.318463445,0.119533528,0.127730147,0.433136988,0.025316456,0.338124116,0.028845514,0.184694064,0.015847467
351,Canada,North America,2008,0.159257851,0.129180403,0.239235056,0.497479017,0.685005745,0.139410622,0.002478315,0.219752187,0.173977306,0.314994255,0.510859427,0.326056789,0.547445585,0.904883057,0.023737704
352,Canada,North America,2009,0.127862697,0.127698303,0.231601965,0.37688621,0.619788174,0.121307329,0.002478315,0.299198251,0.13407062,0.380211826,0.489806795,0.328400835,0.547445585,0.916169074,0.024012863
353,Canada,North America,2010,0.131342003,0.117822604,0.230318995,0.56209752,0.632738443,0.12864468,0.002478315,0.288994169,0.144804359,0.367261557,0.504596935,0.32993162,0.547445585,0.924633587,0.024283853
354,Canada,North America,2011,0.139410894,0.119051277,0.231725485,0.563528046,0.650090123,0.13393053,0.002478315,0.269314869,0.158483729,0.349909877,0.525516322,0.332851151,0.547445585,0.929938016,0.024524894
355,Canada,North America,2012,0.137673417,0.116641101,0.233298728,0.520923963,0.649730433,0.136792948,0.002478315,0.260204082,0.157530717,0.350269567,0.53431046,0.337432731,0.547445585,0.935919605,0.024795092
356,Canada,North America,2013,0.137560811,0.115934038,0.232127195,0.538506469,0.654758163,0.134464733,0.006195787,0.251093294,0.161212725,0.345241837,0.562025316,0.342002116,0.547445585,0.938604065,0.025060849
357,Canada,North America,2014,0.145061665,0.119128298,0.233797833,0.555395144,0.662091385,0.139502042,0.002478315,0.246720117,0.164135076,0.337908615,0.580546302,0.341581647,0.547445585,0.939910018,0.025316335
358,Canada,North America,2015,0.145667149,0.129174275,0.23841221,0.486826391,0.630145559,0.15084424,0.002478315,0.244169096,0.139920671,0.369854441,0.566955363,0.333846472,0.547445585,0.940941883,0.02550767
359,Canada,North America,2016,0.143812071,0.13101873,0.235923974,0.498809523,0.619851042,0.147767214,0.002478315,0.24744898,0.136242743,0.380148958,0.592405063,0.331262175,0.547445585,0.944553408,0.025800704
402,Chile,South America,2009,0.173786187,0.167463169,0.233234855,0.432304084,0.741570271,0.118675539,0.021065675,0.403061224,0.134106749,0.258429729,0.180812791,0.469650181,0.045382697,0.839320163,0.011907847
404,Chile,South America,2011,0.176852161,0.242280955,0.241831372,0.658716594,0.730356844,0.154077836,0.011152416,0.257653061,0.135118434,0.269643156,0.22811459,0.492182579,0.045382697,0.851516317,0.012152987
406,Chile,South America,2013,0.146935428,0.216755774,0.233186283,0.568811068,0.69364217,0.142307246,0.006195787,0.216836735,0.136585702,0.30635783,0.266355763,0.553266559,0.045382697,0.859085204,0.012395406
408,Chile,South America,2015,0.13146855,0.218264316,0.241363934,0.533144587,0.670557299,0.122659788,0.004956629,0.227405248,0.135630543,0.329442701,0.275682878,0.550609975,0.045382697,0.872537331,0.012655013
411,China,Asia,2008,0.149686899,0.089635581,0.227714244,0.76439261,0.982160609,0.087755402,0.223048327,0.158163265,0.6770002,0.017839391,0.082478348,0.382955845,0.573252046,0.711442329,0.95449659
413,China,Asia,2010,0.120757732,0.091546909,0.226985818,0.794774227,0.992632597,0.077732609,0.172242875,0.155976676,0.802083473,0.007367403,0.103664224,0.359401626,0.573252059,0.735471066,0.963902142
